City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
411,Mogadishu,SO,80.08,clear sky,2.04,45.34,Hotel Juba
412,Alice Springs,AU,82.4,clear sky,-23.7,133.88,Desert Palms Alice Springs
413,Tadine,NC,72.57,broken clouds,-21.55,167.88,
415,Buraydah,SA,68.0,dust,26.33,43.98,Mövenpick Hotel Qassim
419,Oranjestad,AW,84.2,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
420,Warrnambool,AU,64.99,clear sky,-38.38,142.48,Lady Bay Resort
421,Beruwala,LK,78.21,clear sky,6.48,79.98,The Palms Hotel
423,Quatre Cocos,MU,73.4,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
425,Maumere,ID,81.05,light rain,-8.62,122.21,Sylvia Hotel
430,Tura,IN,65.52,clear sky,25.52,90.22,Hotel RIKMAN Continental
431,Eyl,SO,78.67,clear sky,7.98,49.82,Amiin Hotel
433,Omboue,GA,75.54,overcast clouds,-1.57,9.26,Hotel Olako
434,Sao Jose Da Coroa Grande,BR,78.26,few clouds,-8.9,-35.15,Crôa Mares Hotel
435,Bac Lieu,VN,75.92,heavy intensity rain,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
436,Lazaro Cardenas,MX,83.14,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
437,Caravelas,BR,78.39,broken clouds,-17.71,-39.25,Pousada dos Navegantes
438,Asfi,MA,66.29,clear sky,32.3,-9.24,Hôtel Abda
441,Olinda,BR,84.2,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
443,Huilong,CN,62.01,clear sky,31.81,121.66,Hilton Garden Inn Qidong
444,Salalah,OM,78.8,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
445,Labuhan,ID,79.0,overcast clouds,-6.88,112.21,bador sepret
450,Najran,SA,71.6,clear sky,17.49,44.13,محمد هادي ال فطيح
451,Touros,BR,75.2,shower rain,-5.2,-35.46,INN NEW HORIZON
452,Negombo,LK,75.2,scattered clouds,7.21,79.84,Hotel Sunset Beach
454,Tupiza,BO,77.67,clear sky,-21.45,-65.72,La Torre Hotel
455,Forio,IT,63.0,clear sky,40.73,13.86,Hotel Terme Providence
