City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Alanya,TR,2020-11-07 18:17:41,36.54,32.0,69.8,32,0,13.87
155,Henties Bay,NA,2020-11-07 18:17:47,-22.12,14.28,61.0,89,0,5.99
156,Mallaig,CA,2020-11-07 18:20:36,54.22,-111.37,23.0,92,97,6.93
157,San Andres,CO,2020-11-07 18:18:21,12.58,-81.7,86.0,74,40,5.82
158,Jiwani,PK,2020-11-07 18:20:36,25.05,61.74,76.73,73,0,7.4
159,Khandbari,NP,2020-11-07 18:20:36,27.37,87.2,59.5,61,10,2.48
160,Cayenne,GF,2020-11-07 18:16:01,4.93,-52.33,80.6,88,42,4.7
161,Porto Novo,BJ,2020-11-07 18:16:55,6.5,2.6,80.6,83,40,10.29
162,Methoni,GR,2020-11-07 18:20:37,36.82,21.7,62.6,45,0,11.88
163,Opuwo,NA,2020-11-07 18:16:47,-18.06,13.84,77.38,24,16,11.03
164,Huaraz,PE,2020-11-07 18:20:37,-9.53,-77.53,66.92,30,33,3.2
165,Deshnok,IN,2020-11-07 18:20:37,27.8,73.34,71.35,22,0,3.85
166,Upernavik,GL,2020-11-07 18:16:42,72.79,-56.15,-2.29,76,20,7.2
167,Chitungwiza,ZW,2020-11-07 18:20:38,-18.01,31.08,82.99,30,37,1.99
168,Toktogul,KG,2020-11-07 18:20:38,41.87,72.94,51.44,37,83,1.52
169,Nanortalik,GL,2020-11-07 18:16:46,60.14,-45.24,32.7,89,99,7.58
170,Ambanja,MG,2020-11-07 18:20:38,-13.68,48.45,77.7,81,71,1.14
171,Oranjemund,NA,2020-11-07 18:19:46,-28.55,16.43,63.52,85,21,4.03
172,Soyo,AO,2020-11-07 18:20:39,-6.13,12.37,78.22,84,48,9.37
173,Pangnirtung,CA,2020-11-07 18:20:39,66.15,-65.71,12.2,85,90,9.17
174,Gat,IL,2020-11-07 18:20:01,31.61,34.76,70.0,76,100,5.12
175,Codrington,AU,2020-11-07 18:17:37,-38.27,141.97,40.6,93,7,6.22
