City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
239,Elbrus,RU,43.26,42.64,32.72,70,0,1.72,clear sky
240,Tacna,PE,-18.01,-70.25,69.8,64,40,8.05,scattered clouds
241,Brigantine,US,39.41,-74.36,73.4,56,1,5.82,clear sky
242,Barcelona,ES,41.39,2.16,64.99,82,20,9.17,few clouds
243,Pandan,PH,14.05,124.17,81.1,87,98,10.65,light rain
244,Eston,CA,51.15,-108.75,17.6,92,90,14.99,overcast clouds
245,Angoche,MZ,-16.23,39.91,80.17,77,0,13.73,clear sky
246,Dawson,US,31.77,-84.45,78.8,69,90,21.92,overcast clouds
247,Alice Springs,AU,-23.7,133.88,82.4,15,62,8.05,broken clouds
248,Goiatuba,BR,-18.01,-49.35,91.78,31,96,5.14,overcast clouds
249,Jos,NG,9.92,8.9,69.51,39,36,4.45,scattered clouds
250,Lima,PE,-12.04,-77.03,71.6,56,75,8.05,broken clouds
251,Tigil,RU,57.8,158.67,18.28,92,12,1.74,few clouds
252,Ambilobe,MG,-13.2,49.05,78.26,71,46,3.89,scattered clouds
253,Zabol,AF,32.25,67.25,47.57,39,46,11.36,scattered clouds
254,Ancud,CL,-41.87,-73.82,64.4,59,0,18.34,clear sky
255,Mercedes,AR,-34.65,-59.43,75.99,45,100,8.99,overcast clouds
256,Touros,BR,-5.2,-35.46,78.8,94,75,13.87,shower rain
257,Sao Filipe,CV,14.9,-24.5,81.59,72,27,5.37,scattered clouds
258,Aranos,NA,-24.13,19.12,81.73,29,58,9.75,broken clouds
259,Mahebourg,MU,-20.41,57.7,73.4,73,20,12.75,few clouds
260,Dunda,TZ,-8.12,34.25,79.92,38,60,11.12,broken clouds
261,Rawson,AR,-43.3,-65.1,79.74,36,43,15.23,scattered clouds
262,Half Moon Bay,US,37.46,-122.43,54.0,34,1,3.36,clear sky
263,Manzhouli,CN,49.6,117.43,25.11,94,1,5.57,clear sky
264,Nanortalik,GL,60.14,-45.24,27.23,96,100,10.36,light snow
265,Ziyang,CN,29.25,117.85,49.86,70,0,3.8,light rain
266,Goderich,CA,43.75,-81.72,71.6,40,51,11.41,broken clouds
267,Nelson Bay,AU,-32.72,152.15,51.01,93,0,3.27,clear sky
268,Jalu,LY,29.03,21.55,65.01,61,17,8.7,few clouds
269,Jumla,NP,29.27,82.18,45.01,63,2,3.62,clear sky
270,Muroto,JP,33.28,134.15,57.38,58,5,11.48,clear sky
271,Thinadhoo,MV,0.53,72.93,83.97,72,97,12.53,overcast clouds
272,Luau,AO,-10.71,22.22,64.54,83,84,9.57,broken clouds
273,Negombo,LK,7.21,79.84,78.8,88,40,9.17,light rain
274,Byumba,RW,-1.58,30.07,71.6,64,40,5.82,scattered clouds
275,High Prairie,CA,55.43,-116.49,23.0,79,92,1.12,overcast clouds
276,Svetlogorsk,BY,52.63,29.73,42.48,76,83,6.33,broken clouds
277,Umm Lajj,SA,25.02,37.27,78.66,60,0,8.41,clear sky
278,Mirante Do Paranapanema,BR,-22.29,-51.91,96.8,23,40,11.41,scattered clouds
279,Candolim,IN,15.52,73.76,80.6,74,20,6.93,haze
280,Brandon,US,27.94,-82.29,84.2,70,90,16.11,overcast clouds
281,Salalah,OM,17.02,54.09,82.4,61,0,3.36,clear sky
282,Kasane,BW,-17.82,25.15,86.0,28,0,2.24,clear sky
283,Correntina,BR,-13.34,-44.64,87.67,45,91,6.82,overcast clouds
284,Kapit,MY,2.02,112.93,73.26,91,78,1.14,moderate rain
285,Fairbanks,US,64.84,-147.72,26.01,96,100,9.66,overcast clouds
286,Workington,GB,54.64,-3.54,55.0,87,99,3.0,overcast clouds
287,Esperance,AU,-33.87,121.9,55.4,100,90,5.82,overcast clouds
288,Naliya,IN,23.27,68.83,79.09,36,0,6.08,clear sky
289,Port Macquarie,AU,-31.43,152.92,55.99,91,37,5.03,scattered clouds
290,Ruteng,ID,-8.61,120.47,63.03,100,100,2.1,overcast clouds
291,Warrington,GB,53.39,-2.58,57.99,93,75,9.17,broken clouds
292,Tazovskiy,RU,67.47,78.7,2.03,94,95,7.96,overcast clouds
293,Shimoda,JP,34.67,138.95,54.91,65,39,14.36,scattered clouds
294,Cayenne,GF,4.93,-52.33,89.6,55,2,11.41,clear sky
295,Vaasa,FI,63.1,21.62,41.0,73,0,2.24,clear sky
296,Krutinka,RU,56.01,71.51,31.84,97,91,14.47,overcast clouds
297,Srandakan,ID,-7.94,110.25,78.6,85,91,5.84,overcast clouds
298,Noumea,NC,-22.28,166.46,64.4,72,75,2.24,broken clouds
299,Wanaka,NZ,-44.7,169.15,42.01,81,12,1.01,few clouds
300,Saskylakh,RU,71.92,114.08,6.87,93,100,28.83,light snow
301,Parabel,RU,58.7,81.48,33.01,95,98,12.86,overcast clouds
302,Yarada,IN,17.65,83.27,75.2,73,0,2.24,mist
303,Liverpool,GB,53.41,-2.98,55.4,93,75,9.17,broken clouds
304,Brodokalmak,RU,55.57,62.08,30.2,80,20,13.42,few clouds
305,Slupsk,PL,54.46,17.03,42.42,86,8,5.46,clear sky
